Age	District.Name	Number
0-4	Ciutat Vella	0.05188067444876784
0-4	Eixample	0.02594033722438392
0-4	Gràcia	0.1297016861219196
0-4	Horta-Guinardó	0.05188067444876784
0-4	Les Corts	0.02594033722438392
0-4	Nou Barris	0.07782101167315175
0-4	Sant Andreu	0.07782101167315175
0-4	Sant Martí	0.07782101167315175
0-4	Sants-Montjuïc	0.07782101167315175
0-4	Sarrià-Sant Gervasi	0.0
10-14	Ciutat Vella	0.0
10-14	Eixample	0.05188067444876784
10-14	Gràcia	0.05188067444876784
10-14	Horta-Guinardó	0.02594033722438392
10-14	Les Corts	0.02594033722438392
10-14	Nou Barris	0.0
10-14	Sant Andreu	0.0
10-14	Sant Martí	0.02594033722438392
10-14	Sants-Montjuïc	0.0
10-14	Sarrià-Sant Gervasi	0.0
15-19	Ciutat Vella	0.0
15-19	Eixample	0.05188067444876784
15-19	Gràcia	0.0
15-19	Horta-Guinardó	0.07782101167315175
15-19	Les Corts	0.0
15-19	Nou Barris	0.02594033722438392
15-19	Sant Andreu	0.02594033722438392
15-19	Sant Martí	0.0
15-19	Sants-Montjuïc	0.02594033722438392
15-19	Sarrià-Sant Gervasi	0.05188067444876784
20-24	Ciutat Vella	0.02594033722438392
20-24	Eixample	0.02594033722438392
20-24	Gràcia	0.02594033722438392
20-24	Horta-Guinardó	0.02594033722438392
20-24	Les Corts	0.02594033722438392
20-24	Nou Barris	0.05188067444876784
20-24	Sant Andreu	0.05188067444876784
20-24	Sant Martí	0.02594033722438392
20-24	Sants-Montjuïc	0.02594033722438392
20-24	Sarrià-Sant Gervasi	0.02594033722438392
25-29	Ciutat Vella	0.05188067444876784
25-29	Eixample	0.05188067444876784
25-29	Gràcia	0.05188067444876784
25-29	Horta-Guinardó	0.05188067444876784
25-29	Les Corts	0.02594033722438392
25-29	Nou Barris	0.05188067444876784
25-29	Sant Andreu	0.05188067444876784
25-29	Sant Martí	0.0
25-29	Sants-Montjuïc	0.07782101167315175
25-29	Sarrià-Sant Gervasi	0.02594033722438392
30-34	Ciutat Vella	0.10376134889753567
30-34	Eixample	0.10376134889753567
30-34	Gràcia	0.0
30-34	Horta-Guinardó	0.05188067444876784
30-34	Les Corts	0.07782101167315175
30-34	Nou Barris	0.07782101167315175
30-34	Sant Andreu	0.02594033722438392
30-34	Sant Martí	0.07782101167315175
30-34	Sants-Montjuïc	0.07782101167315175
30-34	Sarrià-Sant Gervasi	0.02594033722438392
35-39	Ciutat Vella	0.07782101167315175
35-39	Eixample	0.2594033722438392
35-39	Gràcia	0.07782101167315175
35-39	Horta-Guinardó	0.1556420233463035
35-39	Les Corts	0.07782101167315175
35-39	Nou Barris	0.20752269779507135
35-39	Sant Andreu	0.05188067444876784
35-39	Sant Martí	0.2594033722438392
35-39	Sants-Montjuïc	0.1556420233463035
35-39	Sarrià-Sant Gervasi	0.02594033722438392
40-44	Ciutat Vella	0.311284046692607
40-44	Eixample	0.311284046692607
40-44	Gràcia	0.07782101167315175
40-44	Horta-Guinardó	0.4150453955901427
40-44	Les Corts	0.10376134889753567
40-44	Nou Barris	0.4150453955901427
40-44	Sant Andreu	0.23346303501945526
40-44	Sant Martí	0.23346303501945526
40-44	Sants-Montjuïc	0.2853437094682231
40-44	Sarrià-Sant Gervasi	0.1815823605706874
45-49	Ciutat Vella	0.5706874189364461
45-49	Eixample	0.4669260700389105
45-49	Gràcia	0.38910505836575876
45-49	Horta-Guinardó	0.5188067444876784
45-49	Les Corts	0.20752269779507135
45-49	Nou Barris	0.4150453955901427
45-49	Sant Andreu	0.38910505836575876
45-49	Sant Martí	0.4409857328145266
45-49	Sants-Montjuïc	0.4150453955901427
45-49	Sarrià-Sant Gervasi	0.1815823605706874
5-9	Ciutat Vella	0.0
5-9	Eixample	0.02594033722438392
5-9	Gràcia	0.0
5-9	Horta-Guinardó	0.02594033722438392
5-9	Les Corts	0.0
5-9	Nou Barris	0.0
5-9	Sant Andreu	0.0
5-9	Sant Martí	0.02594033722438392
5-9	Sants-Montjuïc	0.05188067444876784
5-9	Sarrià-Sant Gervasi	0.02594033722438392
50-54	Ciutat Vella	0.5447470817120622
50-54	Eixample	0.933852140077821
50-54	Gràcia	0.5447470817120622
50-54	Horta-Guinardó	0.9857328145265889
50-54	Les Corts	0.2853437094682231
50-54	Nou Barris	1.1154345006485085
50-54	Sant Andreu	0.7263294422827496
50-54	Sant Martí	0.9079118028534371
50-54	Sants-Montjuïc	0.9079118028534371
50-54	Sarrià-Sant Gervasi	0.4150453955901427
55-59	Ciutat Vella	0.8041504539559015
55-59	Eixample	1.7898832684824904
55-59	Gràcia	0.49286640726329445
55-59	Horta-Guinardó	1.2191958495460442
55-59	Les Corts	0.4150453955901427
55-59	Nou Barris	1.5823605706874189
55-59	Sant Andreu	0.933852140077821
55-59	Sant Martí	1.608300907911803
55-59	Sants-Montjuïc	1.2710765239948119
55-59	Sarrià-Sant Gervasi	0.8300907911802854
60-64	Ciutat Vella	1.0376134889753568
60-64	Eixample	2.0752269779507135
60-64	Gràcia	1.0376134889753568
60-64	Horta-Guinardó	1.6601815823605708
60-64	Les Corts	0.5966277561608301
60-64	Nou Barris	1.608300907911803
60-64	Sant Andreu	1.4526588845654993
60-64	Sant Martí	2.4383916990920884
60-64	Sants-Montjuïc	2.0233463035019454
60-64	Sarrià-Sant Gervasi	1.2710765239948119
65-69	Ciutat Vella	1.3748378728923476
65-69	Eixample	3.372243839169909
65-69	Gràcia	1.556420233463035
65-69	Horta-Guinardó	1.9455252918287937
65-69	Les Corts	1.3229571984435797
65-69	Nou Barris	2.490272373540856
65-69	Sant Andreu	2.1011673151750974
65-69	Sant Martí	2.749675745784695
65-69	Sants-Montjuïc	2.3605706874189365
65-69	Sarrià-Sant Gervasi	1.556420233463035
70-74	Ciutat Vella	1.3229571984435797
70-74	Eixample	3.813229571984436
70-74	Gràcia	1.8158236057068742
70-74	Horta-Guinardó	3.476005188067445
70-74	Les Corts	1.3488975356679638
70-74	Nou Barris	3.6316472114137484
70-74	Sant Andreu	2.4383916990920884
70-74	Sant Martí	4.332036316472114
70-74	Sants-Montjuïc	3.424124513618677
70-74	Sarrià-Sant Gervasi	2.4643320363164722
75-79	Ciutat Vella	1.9714656290531778
75-79	Eixample	5.317769130998703
75-79	Gràcia	2.6199740596627756
75-79	Horta-Guinardó	4.461738002594034
75-79	Les Corts	1.5045395590142672
75-79	Nou Barris	4.669260700389105
75-79	Sant Andreu	3.3463035019455254
75-79	Sant Martí	5.36964980544747
75-79	Sants-Montjuïc	3.9948119325551232
75-79	Sarrià-Sant Gervasi	2.775616083009079
80-84	Ciutat Vella	3.7872892347600517
80-84	Eixample	10.66147859922179
80-84	Gràcia	4.5136186770428015
80-84	Horta-Guinardó	8.352788586251622
80-84	Les Corts	2.827496757457847
80-84	Nou Barris	8.378728923476006
80-84	Sant Andreu	5.49935149156939
80-84	Sant Martí	9.182879377431906
80-84	Sants-Montjuïc	7.211413748378729
80-84	Sarrià-Sant Gervasi	5.317769130998703
85-89	Ciutat Vella	3.7872892347600517
85-89	Eixample	16.212710765239947
85-89	Gràcia	5.784695201037613
85-89	Horta-Guinardó	10.168612191958495
85-89	Les Corts	4.773022049286641
85-89	Nou Barris	10.06485084306096
85-89	Sant Andreu	7.937743190661479
85-89	Sant Martí	12.062256809338521
85-89	Sants-Montjuïc	10.246433203631646
85-89	Sarrià-Sant Gervasi	7.782101167315175
90-94	Ciutat Vella	3.5538261997405964
90-94	Eixample	15.745784695201037
90-94	Gràcia	6.95201037613489
90-94	Horta-Guinardó	8.352788586251622
90-94	Les Corts	3.9688715953307394
90-94	Nou Barris	7.315175097276264
90-94	Sant Andreu	6.018158236057069
90-94	Sant Martí	9.779507133592737
90-94	Sants-Montjuïc	9.053177691309987
90-94	Sarrià-Sant Gervasi	7.392996108949417
95-99	Ciutat Vella	1.3488975356679638
95-99	Eixample	7.833981841763943
95-99	Gràcia	3.6316472114137484
95-99	Horta-Guinardó	4.2282749675745785
95-99	Les Corts	1.9714656290531778
95-99	Nou Barris	2.827496757457847
95-99	Sant Andreu	2.4643320363164722
95-99	Sant Martí	3.5278858625162126
95-99	Sants-Montjuïc	3.3463035019455254
95-99	Sarrià-Sant Gervasi	3.8910505836575875
>=100	Ciutat Vella	0.3631647211413748
>=100	Eixample	1.8936446173800259
>=100	Gràcia	0.7522697795071336
>=100	Horta-Guinardó	0.5966277561608301
>=100	Les Corts	0.2594033722438392
>=100	Nou Barris	0.3631647211413748
>=100	Sant Andreu	0.5706874189364461
>=100	Sant Martí	0.5447470817120622
>=100	Sants-Montjuïc	0.622568093385214
>=100	Sarrià-Sant Gervasi	1.0894941634241244
